Price_BRL,Condo_Fee_BRL,Neighbourhood_Aux,Apt_Area_m2,Total_Rooms,Total_Baths,Garage_Spots_aux,Days_Published
2600000.0,1564.0,Noroeste,153.0,4.0,6.0,2.0,12.0
1900000.0,1150.0,Asa Norte,118.0,3.0,3.0,1.0,19.0
289000.0,490.0,Sudoeste,24.0,1.0,1.0,1.0,27.0
649000.0,500.0,Sudoeste,85.0,2.0,1.0,0.0,26.0
550000.0,,Sudoeste,60.0,1.0,1.0,0.0,12.0
3371817.0,,Sudoeste,186.0,4.0,6.0,3.0,13.0
370000.0,,Águas Claras,33.0,1.0,1.0,1.0,1.0
749990.0,,Setor De Clubes Esportivos Sul,86.0,1.0,1.0,0.0,2.0
2100000.0,1400.0,Noroeste,147.0,3.0,5.0,2.0,18.0
330000.0,450.0,Asa Norte,26.0,1.0,1.0,1.0,3.0
360000.0,450.0,Noroeste,69.0,1.0,1.0,1.0,20.0
1380000.0,983.0,Noroeste,96.0,3.0,3.0,2.0,9.0
2490000.0,1884.0,Guará II,229.0,3.0,5.0,3.0,16.0
1250000.0,,Noroeste,86.0,2.0,3.0,1.0,10.0
320000.0,,Asa Norte,42.0,1.0,1.0,0.0,20.0
540000.0,520.0,Sudoeste,38.0,2.0,1.0,1.0,4.0
930000.0,864.0,Noroeste,66.0,1.0,1.0,2.0,12.0
2320000.0,,Noroeste,155.0,3.0,4.0,3.0,7.0
330000.0,417.0,Asa Norte,27.0,1.0,1.0,1.0,13.0
1974455.0,,Park Sul,129.0,4.0,5.0,2.0,13.0
830000.0,750.0,Asa Sul,72.0,2.0,2.0,0.0,28.0
2390000.0,,Sudoeste,143.0,4.0,6.0,3.0,11.0
695000.0,,Sudoeste,61.0,2.0,1.0,0.0,3.0
2290000.0,1280.0,Asa Sul,185.0,3.0,3.0,1.0,2.0
1290000.0,760.0,Noroeste,78.0,2.0,3.0,1.0,18.0
790000.0,,Guará II,80.0,3.0,1.0,2.0,16.0
900000.0,,Octogonal,68.0,2.0,2.0,1.0,27.0
3675038.0,,Sudoeste,200.0,4.0,6.0,4.0,11.0
2190000.0,1450.0,Asa Sul,147.0,3.0,5.0,1.0,26.0
1300000.0,690.0,Noroeste,77.0,2.0,2.0,2.0,4.0
1199000.0,,Noroeste,171.0,2.0,3.0,2.0,1.0
