Price_BRL,Apt_Area_m2,Total_Rooms,Total_Baths,Garage_Spots_aux,Asa Sul,Cruzeiro,Guará,Guará II,Lago Norte,Lago Sul,Noroeste,Octogonal,Park Sul,Setor De Clubes Esportivos Sul,Setor Habitacional Jardins Mangueiral,Setor de Hotéis e Turismo Norte,Sobradinho,Sudoeste,Taguatinga,Águas Claras
830000.0,90.0,3.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685000.0,125.0,3.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449000.0,60.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1580000.0,150.0,3.0,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579924.0,37.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1790000.0,120.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550000.0,132.0,4.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985000.0,78.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
480000.0,63.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
950000.0,70.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2699000.0,216.0,4.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170000.0,69.0,2.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1360000.0,135.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650000.0,104.0,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
520000.0,37.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350000.0,29.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
269900.0,26.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1270000.0,97.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1550000.0,105.0,3.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2745000.0,227.0,4.0,6.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1355000.0,114.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
510000.0,39.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
