Price,Condo_Fee,Neighbourhood,Size_m2,Rooms,Bathrooms,Garage_Spots,Published,Description
R$ 860.000,R$ 951 Condominio,"Octogonal, Brasília",68 m² tot.,2 quartos,1 banheiro,1 vaga,Publicado há 18 dias,"Salvador imóveis vende: Lindo apartamento localizado na aos 07 Octogonal. Perto de tudo! Venha conhecer! Veja O tour virtual! Este imóvel possui uma energia incrível! Sinta-se em casa! Apartamento com 68m² privativos. Nascente. Quarto andar. Vista livre. Varanda. Sala com 02 ambientes. 03 quartos (02 quartos + 01 reversível) Piso em porcelanato polido. Armários planejados em todos os ambientes. 01 vagas de garagem no subsolo (com armário) Ligue e agende a sua visita! Fazemos avaliações mercadológicas gratuitas! Atendimento Personalizado: Corretor Salvador ( 6 1) 9 8 1 0 7 - 3 0 4 0 ( Vivo / WhatsApp) e ( 6 1) 3 5 4 8 - 5 0 7 0. E - m a i l: s a l v a d o r c o r r e t o r d e i m o v e i s @ g m a i l. C o m / S i t e: w w w. I m o v e i s d o s a l v a d o r. C o m. B r. Corretor salvador - creci/df número 15. 336. A melhor equipe de corretores de brasília! Endereço: Edifício Três Irmãos - Área Especial 04, bloco B, sala 207, Guará ii, Brasília - df - cep: Ver dados. Também dispomos de apartamentos nos condomínios: Superquadra Atlântica ( sqa), Super Quadra Brasília ( sqb), Sports Club, Liberté, Duetto, Olympique, Maestri, Auster, Dolce Vitta, Isla Life Style, Boulevard, Belvedere, Contemplar, Via Blanc e Via Verano. Temos outros imóveis no: Guará I e ii, Lúcio Costa, Colônia Agrícola Águas Claras, Colônia Agrícola Samambaia, caac, iapi, smbs, Bernardo Sayão, Guará Park, Arniqueira, Arniqueiras, Vicente Pires, Areal, Núcleo Bandeirante, Riacho Fundo, Águas Claras, Cruzeiro, Sudoeste, Plano piloto, Asa Norte, Asa Sul, Lago Norte, Lago Sul, Granja do Torto, Sobradinho, Condomínio, Condomínios, Taquari, Tororó, São Sebastião e Jardim Botânico. *A metragem do imóvel anunciada é uma estimativa e deverá ser confirmada pelo pretendente interessado junto à certidão de ônus do imóvel. *Disponibilidade e valores sujeitos a alteração sem prévio aviso. Clique em ver telefones para entrar em contato! Antes de se deslocar à imobiliária, certifique-se de que a chave não está emprestada, ou reservada para outro corretor. - 15/02/2024"
R$ 1.450.000,R$ 1.550 Condominio,"Asa Sul, Brasília",161 m² tot.,3 quartos,3 ban.,,Publicado há 24 dias,
R$ 304.999,,"Setor Habitacional Jardins Mangueiral, Brasília",48 m² tot.,2 quartos,1 banheiro,1 vaga,Publicado há 3 dias,"Perfeito Apartamento de 02 Quartos (Térreo) Localizado no Jardins Mangueiral qc 05 por R$304. 999, 00. Este apartamento oferece uma espaçosa sala aconchegante e revestida em piso vinílico, proporcionando um ambiente acolhedor e de fácil manutenção. A varanda, harmoniosamente integrada à sala, proporciona um ambiente ainda mais amplo e versátil, oferecendo um espaço extra para relaxar. Cozinha parcialmente revestida em cerâmica. É equipada com armários planejados, fogão cooktop, forno embutido, coifa e uma elegante bancada em granito, destacando-se pela praticidade e estilo. A área de serviço, adjacente à cozinha, é prática e funcional, contando com um tanque para facilitar as tarefas diárias. Os dois quartos, com piso em vinílico, destacam-se como ambientes aconchegantes, proporcionando um espaço propício para o descanso e momentos tranquilos. Banheiro revestido em cerâmica, é equipado com armários planejados, pia em cuba, espelho amplo, box em blindex e uma bancada em granito, proporcionando conforto e elegância. O imóvel conta ainda com uma vaga de garagem, garantindo comodidade e praticidade aos moradores. O condomínio Jardins das Paineiras conta com o fácil acesso aos comércios locais do bairro, como: mercado, padarias, posto de gasolina, o bairro tem ubs (unidade básica de saúde) para atender a toda comunidade do Jardins Mangueiral. Os moradores podem contar com ronda e segurança armada 24 hrs, lazer para crianças e adultos como playground, quadra esportiva e churrasqueiras. Agende já sua visita! Corretor erivelto santos - creci: 25. 383. (61) Ver dados. corretor helder perazzo - creci: 16. 342. (61) Ver dados. corretor ramon - creci: 26. 558. (61) Ver dados. corretora ana shirley- creci: 26. 489. (61) Ver dados. perazzo imóveis - creci: J Ver dados. (61) Ver dados - 16/02/2024"
R$ 1.680.000,,"SQN 208, Asa Norte, Brasilia",286 m² tot.,4 quartos,3 ban.,1 vaga,Publicado há 20 dias,"Apartamento 4 quartos nascente sqn 208, Asa Norte, aceita permuta Noroeste. A localização é tão perfeita, que o apartamento ficou com a auto estima lá em cima. 4 experiências incríveis para você amar viver neste apartamento: 1. Vibe: A posição do apartamento, nascente, agradaria personagens exigentes como Sheldon Cooper ou Sherlock Holmes. Imagine a posição perfeita, e, por isso mesmo, nunca fica quente demais, fria demais, nem barulhenta demais. A iluminação parece que foi encomendada, feita sob medida para trazer ""good vibes"" ao seu dia. Há ainda um detalhe importante valorizado pelos excêntricos: a posição favorece tanto a mobilidade dentro da quadra quanto chegar e sair dela: nem muito longe, nem muito perto e dá tempo suficiente para se desviar dos vizinhos. 2. Planta: A planta mantém as suas características originais, o que é ótimo, mas apartamento é reformado, se você quiser repaginar e dar novos ares, o apartamento está de peito aberto. Isso porque iria valorizar a amplitude dos ambientes, a luz epifânica da sua posição privilegiada e evidenciaria os charmosos pisos. 3. Quadra: Morar bem ultrapassa o metro quadrado do apartamento e se estende por toda a quadra, que é charmosa, tranquila e um convite a passeios despretensiosos com seu pet, caminhadas sem pressa e boas conversas com quem você se sentir verdadeiramente conectado. 4. Paladar: Você estará próximo aos restaurantes mais comentados da Asa Norte, quiçá de Brasília. O Valor do iptu/tlp informado refere-se a 1/12 avos do valor anual. A forma de pagamento e parcelamento pode variar de acordo com as leis locais. Os valores e informações poderão sofrer alteração sem prévio aviso. As informações estão sujeitas a alterações. Consulte a corretora responsável: Valéria Vieira"
R$ 1.750.000,R$ 1.400 Condominio,"Asa Sul, Brasília",210 m² tot.,4 quartos,3 ban.,1 vaga,Publicado há 12 dias,"Benchimol vende!! Sqs 107 - Apartamento Alto Padrão - 178m² de área útil - 100% Reformado - Canto - Vazado - Nascente! * 4 Quartos com Armários planejados. * Suíte espaçosa com Closet. * Ar Condicionado em todos ambientes. * Sala de estar e jantar ampla com projeto de iluminação. * Cozinha, dce e Area de Serviço espaçosa e com armários planejados. * Banheiro Social. * Garagem demarcada na frente do prédio mas não está vinculada na Ônus do imóvel. ** Apartamento com vista livre para área verde, com excelente planta e distribuição de espaços, localização privilegiada, próximo a pontos turísticos, comércio variado, restaurantes renomados, boas escolas, metrô e paradas de ônibus (perto da igrejinha, biscoito mineiro, pizzaria Dom Bosco, Cine Brasilia). ** Prédio com salão de festas e guarita 24 horas. ** Aceita financiamento e fgts. **Agende sua visita: (61) Ver dados. 6367. ** Benchimol Investimentos Imobiliários oferece: - Avaliação mercadológica gratuita de imóveis para venda; - Fotos e vídeos profissionais; - Corretores profissionais; éticos e qualificados; - Venda segura e eficiente; - Anúncios patrocinados nos principais sites imobiliários de Brasília; - Assessoria jurídica especializada; - Correspondente bancário, acompanhando o financiamento habitacional do início ao fim; - Reformas e projetos de interiores; ** Venha para a Benchimol Investimentos Imobiliários e tenha excelência no atendimento e na negociação do seu patrimônio! Benchimol investimentos imobiliários ltda. creci pj 29173"
R$ 950.000,,"Asa Norte, Brasília",69 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 13 dias,"Apartamento na sqn 215 bloco A. 2 qts. 69m. dce. com armarios novos nos quartos. armarios na cozinha e banheiro. 01 vaga. alugado por 2. 700, 00. Agende sua visita somente pelo whastapp. 61 Ver dados. Valores, disponibilidade e condicoess sujeitos a alteracao sem aviso previo, inclusive taxas de condominio e iptu. Iptu anunciado corresponde ao valor anual. Tetto Empreendimentos Imobiliarios Creci Ver dados/8ª Regiao df"
R$ 850.000,,"Guará II, Brasília",91 m² tot.,3 quartos,1 banheiro,,Publicado há 16 dias,"Apartamento de 3 quartos no sport club - guaráespecificações do aprtamento: - Sala ampla- Cozinha com armários planejados, bancada em granito e depurador de ar- Área de serviço com armário e tanque- Suíte com armários planejados- 2 quartos com armários planejados sendo um com bancada para estudos- Banheiro social com box, espelho, armário e bancada em granito com cuba- Varanda com blindex e tela de proteção- 2 Vagas de garagemespecificações do condominio: - Brinquedoteca- spa- Piscina- Quadra poliesportiva- Academiaespecificações da localização: proximo À: - Padarias- Pizzarias- Farmácias- Mercados- Restaurantes- EscolasR$ 850. 000, 00Telefone fixo: Ver dadosWhatsApp: (61) Ver dadoscreci - 26. 903. Código para anúncio: 333"
R$ 1.250.000,R$ 850 Condominio,"Asa Norte, Brasília",102 m² tot.,3 quartos,2 ban.,1 vaga,Publicado há 21 dias,
R$ 1.160.000,,"Sudoeste, Brasília",146 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 20 dias,"Malbeck imóveis vende com exclusividade: Excelente apartamento duplex composto por: 2 (dois) quartos, sendo 2 (um) suítes; Sala composta por 2 (dois) ambientes; Varanda; Lavabo; Cozinha gourmet; Área de serviço; Piso em porcelanato; Ar condicionado nos quartos; Ambientes planejados; Andar alto; nascente; vista livre; Reformado; 1 (uma) vaga de garagem; tudo isso reunido em uma localização privilegiada, próximo ao Parque Bosque do Sudoeste. O parque é bem estruturado e conta com: quadras esportivas, playground, aparelhos de musculação e pistas de cooper. Próximo ao Terraço Shopping, hfa, Centro Clínico Sudoeste, Supermercado Pão de Açúcar, Academia Bodytech e Casa Thomas Jefferson. Quer saber mais? Entre em contato com a equipe Malbeck e confira pessoalmente! Luciana Maldonado (corretora responsável): 61 Ver dados - 31/01/2024"
R$ 1.080.000,R$ 650 Condominio,"Sudoeste, Brasília",81 m² tot.,3 quartos,2 ban.,1 vaga,Publicado há 14 dias,"** 81 m2 - 3 Quartos ( 1 suíte) - Varanda - Armários - desocupado ** gilson lima vende apartamento no residencial: - porto do sol. - 81 m2, Ótima planta, - 03 Quartos sendo ( 01 Suíte) - Sala para 02 ambientes com varanda. - Apartamento de canto, nascente E vista livre para jardim. - Cozinha com área serviço. - Bastante armários. - 02 portas de acesso (sala e cozinha) - Wc social com ventilação natural. - 01 vaga coberta com armário. - condomínio. - Portaria 24 horas. - Salão de festa. - Valor do condomínio: R$ 650, 00 com água incluso. - localização: sqsw 504 - Sudoeste, excelente quadra, bem arborizada. - proximidades: - Pão de açucar. - Caixa econômica. - Comércios em geral. - ciee. valor de R$ 1. 180. 000, 00 R$ 1. 080. 000, 00 - Doc 100%, aceita financiamento bancário e fgts. * Consultoria e Assessoria. * Aprovação de crédito e financiamento bancário. Maiores informações e visita: gilson lima. ""Garantia de bons negócios"" Ver dados - Whatsapp. Ver dados"
