Price,Condo_Fee,Neighbourhood,Size_m2,Rooms,Bathrooms,Garage_Spots,Published,Description
R$ 1.200.000,,"Asa Norte, Brasília",104 m² tot.,2 quartos,3 ban.,1 vaga,Publicado há 26 dias,"Apartamento com vista livre em uma das melhores quadras da Asa Norte! São 104m2 de área privativa, bem divididos em: sala de jantar, ampla sala de estar, varanda, 2 quartos (um deles com closet), banheiro social, suíte, cozinha, área de serviço e dce. Além disso, salão de festas, academia, portaria 24h e uma vaga de garagem coberta. Agende já sua visita!"
R$ 1.260.000,R$ 980 Condominio,"Asa Sul, Brasília",120 m² tot.,3 quartos,3 ban.,,Publicado há 18 dias,
R$ 289.000,,"Sudoeste, Brasília",40 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 10 dias,
R$ 2.750.000,,"Park Sul, Brasília",157 m² tot.,4 quartos,6 ban.,3 vaga,Publicado há 20 dias,"Descubra a elegância e o conforto no Elegance Park Sul. Este apartamento de alto padrão, situado em um andar elevado, oferece uma experiência de moradia única e está disponível para venda. Destaques do Imóvel: 04 Suítes Espaçosas: Cada suíte é projetada para oferecer o máximo de conforto e privacidade, criando um ambiente tranquilo e acolhedor. Vagas de Garagem com Ponto para Carro Elétrico: Além de espaçosas, as vagas de garagem contam com ponto para carro elétrico, oferecendo conveniência e sustentabilidade. Reforma de Alto Nível: O apartamento passou por uma reforma completa, incluindo armários planejados, um projeto de iluminação sofisticado, eletrodomésticos modernos e eletroeletrônicos de última geração. Dependência Completa de Empregada com Banheiro: Funcionalidade e privacidade para o seu dia a dia. Área de Serviço Separada: Projetada para facilitar as atividades domésticas. Pronto para Morar: Com 171 m² de puro requinte, este imóvel não é apenas um apartamento, é um lar pronto para acolher você e sua família. Os acabamentos de alta qualidade e a atmosfera acolhedora do Elegance Park Sul oferecem um estilo de vida inigualável. Viva com Elegância e Conforto: Não perca a oportunidade de morar em um dos endereços mais desejados da cidade. Agende sua visita e venha conhecer seu novo lar no Elegance Park Sul. #EleganceParkSul. #ApartamentoDeLuxo. #VidaModerna. #ImoveisAltoPadrao. #MoradiaDeLuxo. #EstiloDeVidaElegante. #ArquiteturaDesign. #MercadoImobiliario. #LarDosSonhos. #InvestimentoImobiliario. #ApartamentoReformado. #Sustentabilidade. #CarroEletrico. #ViverBem. #CasasDeLuxo"
R$ 1.070.000,R$ 1.200 Condominio,"Asa Sul, Brasília",58 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 19 dias,Apartamento com uma planta diferenciada com uma reforma diferenciada com área de serviço e cozinha completa
R$ 890.000,,"Octogonal, Brasília",70 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 25 dias,
R$ 3.600.000,R$ 2.600 Condominio,"Noroeste, Brasília",323 m² tot.,4 quartos,6 ban.,3 vaga,Publicado há 18 dias,
R$ 2.182.571,,"Noroeste, Brasília",126 m² tot.,3 quartos,"Viva no Alto Astral no Reserva Elevare! Seja bem-vindo ao Reserva Elevare, onde o conforto e a modernidade se encontram! Este apartamento de 03 quartos com suíte, com seu 126m², é o lar dos sonhos que você estava procurando no coração do Noroeste. Localizado no 3º andar, este apartamento oferece uma vista deslumbrante e uma brisa refrescante que vai fazer você se sentir nas nuvens. Imagine acordar todas as manhãs em sua suíte espaçosa e ensolarada, pronta para receber um novo dia com todo o seu charme. Com duas vagas de garagem, você não vai mais precisar se preocupar com estacionamento. Chega de voltas e mais voltas para encontrar um lugar para o carro! A entrega está prevista para julho de 2024, então você já pode começar a planejar sua mudança para este oásis urbano. E não podemos esquecer da área de lazer completa do Reserva Elevare, onde cada momento é uma celebração. Piscina, academia, salão de festas e muito mais, garantindo diversão e relaxamento para toda a família. Não perca tempo! Venha fazer parte deste condomínio incrível e comece a viver a vida que você sempre sonhou. Agende já sua visita e descubra por que o Reserva Elevare é o lugar perfeito para chamar de lar! As imagens apresentadas podem ser meramente ilustrativas.",2 vaga,Publicado há 13 dias,
R$ 900.000,,"Octogonal, Brasília",68 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 25 dias,
R$ 1.184.000,,"Park Sul, Brasília",102 m² tot.,1 quartos,2 ban.,2 vaga,Publicado há 14 dias,"* Outras opções no site. Www. apdf. com. br. * Venice Park Sul * - Park Sul Lt 10 - Brasília - df. * Localização, - (Próximo) - Ao lado do Park Shopping, Carrefour, Park Design, Casa Park. - Fácil acesso ao aeroporto, Epia sul, Metrô, Rodoviária interestadual. * Piso em porcelanato natural, Bancadas em granito, Preparação para ar condicionado tipo Split. - Teto rebaixado em gesso, 1. 000 m² de piscina, Lazer decorado e mobiliado, Lavanderia. * Aceita fgts e Financiamento Bancário Residencial. * Venice é um lugar único no Park Sul, um verdadeiro oásis para você morar e relaxar. * Apartamentos de 01 Quarto e Duplex de 26 a 102 m² com vaga de garagem. * Cobertura Duplex 01 Quarto, 102, 68 m² com 02 vagas de garagens, Valor R$ 1. 184. 000, 00. * Preço de tabela, Agende sua visita! * Valdiclei Senko - Creci 23. 249 - Tel: (61) 9. 8281. 1093. * Temos correspondentes bancários. * Também vendemos seu imóvel."
R$ 1.720.000,R$ 1.336 Condominio,"Noroeste, Brasília",127 m² tot.,3 quartos,3 ban.,2 vaga,Publicado há 21 dias,
R$ 1.690.000,,"Asa Norte, Brasília",130 m² tot.,3 quartos,3 ban.,"Sqn 104. magnifico apartamento totalmente reformado C/ projeto arquitetÔnico, planejado E mobiliado na 104 norte. - Belíssimo apartamento totalmente reformado, projeto arquitetônico, planejado e com toda a mobília. Composto por 03 Quartos sendo 01 Suíte. - Sala ampla para 02 ambientes, toda no porcelanato, sistema luminotecnico, ar-condicionado, sofá, cortinas, armários planejados, espelhos, smart tv, quadros decorativos, mesa de jantar com cadeiras. - Quartos amplos com armários embutidos, ar condicionado, cortinas, camas de excelente qualidade. - Suite master com closet, cama de casal, tv, iluminação completa, pintura especial e cortinas. - Escritório com armários. - Banheiros amplos com box em blindex, nichos, chuveiro e metais. - Cozinha americana, planejada, repleta em armários e móveis planejados, coifa, cooktop, geladeira, micro-ondas, forno elétrico, cafeteira, adega 24 garrafas e filtro. - Área de serviço toda no porcelanato com máquina lava e seca. - Apartamento vazado com 125 m² de área útil, localizado no primeiro andar, voltado para o nascente com vista livre. (Somente vaga coletiva no térreo) Perto de academias, shoppings, farmácia, escola, padaria, restaurantes. . *Para mais informações: * Rafael Corretor Imobiliário. Ver dados. J Nogueira Imóveis Acessória Imobiliária e Jurídica.",Publicado há 7 dias,"Sqn 104. magnifico apartamento totalmente reformado C/ projeto arquitetÔnico, planejado E mobiliado na 104 norte. - Belíssimo apartamento totalmente reformado, projeto arquitetônico, planejado e com toda a mobília. Composto por 03 Quartos sendo 01 Suíte. - Sala ampla para 02 ambientes, toda no porcelanato, sistema luminotecnico, ar-condicionado, sofá, cortinas, armários planejados, espelhos, smart tv, quadros decorativos, mesa de jantar com cadeiras. - Quartos amplos com armários embutidos, ar condicionado, cortinas, camas de excelente qualidade. - Suite master com closet, cama de casal, tv, iluminação completa, pintura especial e cortinas. - Escritório com armários. - Banheiros amplos com box em blindex, nichos, chuveiro e metais. - Cozinha americana, planejada, repleta em armários e móveis planejados, coifa, cooktop, geladeira, micro-ondas, forno elétrico, cafeteira, adega 24 garrafas e filtro. - Área de serviço toda no porcelanato com máquina lava e seca. - Apartamento vazado com 125 m² de área útil, localizado no primeiro andar, voltado para o nascente com vista livre. (Somente vaga coletiva no térreo) Perto de academias, shoppings, farmácia, escola, padaria, restaurantes. . *Para mais informações: * Rafael Corretor Imobiliário. Ver dados. J Nogueira Imóveis Acessória Imobiliária e Jurídica."
R$ 1.780.000,R$ 956 Condominio,"Sudoeste, Brasília",111 m² tot.,3 quartos,3 ban.,2 vaga,Publicado há 19 dias,"Sqsw 300, Real Star, canto, 3 quartos + 2 vagas. Localizado em um empreendimento de alto padrão na quadra 300 do Setor Sudoeste, possui uma planta muito bem distribuída. 01- proximidades: - Centro de Brasília. - Hipermercados, Shopping. - Fácil acesso e vias de ligações. 02- condomínio/lazer. - Portaria 24H. - Fachada com revestimento em granito e pele de vidro. - Cobertura Coletiva: Sauna, piscina, academia, churrasqueira. - No térreo: Salão de festas. 03- imóvel: - Apartamento de canto com 3 quartos, sendo 1 suíte, banheiro social, sala de jantar, sala de estar com varanda, cozinha, área de serviço separada, dce e laje técnica para condensadora de ar condicionado, piso em granito, projeto de iluminação, elétrica nova. - 113 M² de área privativa + 2 vagas de garagem privativas soltas. 04- segurança: - Monitoramento 24 H. - Portão eletrônico. - Garagem privativa. - Entrada com biometria. 05- condições iniciais para venda: R$ 1. 780. 000, 00. Marque agora a sua visita. Renata Neves. Ver dados. Corretora de Imóveis."
R$ 3.490.000,R$ 2.500 Condominio,"Noroeste, Brasília",195 m² tot.,5 quartos,5 ban.,4 vaga,Publicado há 19 dias,"Vendo apartamento vazado 4 suítes, 4 vagas no Noroeste-qd 102(melhor quadra do Bairro) . Obs. : Apartamento vazado com 195 m², 4 suítes transformado para 3 suítes com sala ampliada e varanda gourmet. - Anúncio com vídeo do imóvel. Planta do apartamento de 4 suítes, porém transformada em 3 suítes com varanda gourmet, lavabo, cozinha em ""L"", suíte master com 2 banheiros. - Piso em porcelanato 1, 20 x 1, 20 (Portobello) , rodapé em mármore; - Armários da Casa Bartz; - Arquitetura feita pela renomada Jaqueline Carvalho; - Projeto de iluminação; - Empresa Pederiva & Carvalho; - Piso em porcelanato Portobello 1, 20 x 1, 20; - Roda pé em mármore; - Blindex e nicho nos banheiros. - Suíte master com hidro e closet; - Sistema de som nos ambientes integrados; - Sistema de automação instalados; - Persiana elétrica nas suítes; - Sistema de aspiração de pó; - Vista para o parque; - 4 vagas soltas(sendo uma para carro elétrico) ; - Escaninho no subsolo; - Hall individual; - Prédio com lazer. Obs. : - Valor do condomínio incluso gás e água. Agende sua visita e garanta sua unidade: (61) 9. 8100. 0794. @melhordoimovel. Corretor Max. - Exija o Creci do corretor e consulte para ter certeza que o profissional é credenciado ao Creci-df. Obs. : Avaliamos e vendemos seu imóvel. - 19/02/2024"
R$ 3.476.385.000,,"Noroeste, Brasília",218 m² tot.,3 quartos,4 ban.,4 vaga,Publicado há 24 dias,
R$ 3.450.000,R$ 2.150 Condominio,"Noroeste, Brasília",215 m² tot.,4 quartos,"Prepare-se para se encantar com este apartamento reformado, um verdadeiro oásis de 215m² pronto para receber você e sua família. Uma verdadeira joia no piso 1, 20x1, 20 de mármore na sala, climatizado para garantir seu conforto em cada canto. Com 4 suítes (transformadas em 3), a suíte principal é um espetáculo à parte, com 2 closets e 2 banheiros, incluindo uma irresistível banheira para relaxar. Armários planejados em todos os cantos, garantindo praticidade e organização. A varanda gourmet é o convite perfeito para momentos de descontração. Automação na varanda e nas duas salas, proporcionando modernidade e praticidade ao seu dia a dia. Não podemos esquecer da incrível cobertura de lazer. Piscina adulto e infantil, sauna com jacuzzi, salão de festas e gourmet, brinquedoteca, academia e não uma, mas três churrasqueiras! Sua vida social vai ganhar um upgrade. O apartamento ainda oferece sala de estar e tv, lavabo, cozinha moderna, área de serviço e dce. E não se preocupe com espaço para estacionar, são 5 vagas de garagem soltas. O condomínio de R$ 2. 150, 00 com desconto de pontualidade garante uma estrutura impecável. Essa é a oportunidade de ouro por R$ 3. 450. 000, 00. E se quiser tudo ainda mais prático, a ""Porteira Fechada"" está disponível por R$ 4. 100. 000, 00. Não perca tempo! Seu novo lar dos sonhos está aqui. Agende já sua visita e dê o passo rumo a uma vida de luxo e conforto!",5 vaga,Publicado há 25 dias,
R$ 823.673.000,,"Superquadra Noroeste, Brasília",54 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 25 dias,
R$ 5.527.000,,"Park Sul, Brasília",365 m² tot.,4 quartos,7 ban.,4 vaga,Publicado há 23 dias,
R$ 495.000,R$ 275 Condominio,"Asa Sul, Brasília",26 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 16 dias,
R$ 2.350.000,,"Park Sul, Brasília",284 m² tot.,4 quartos,6 ban.,3 vaga,Publicado há 11 dias,
R$ 750.000,R$ 650 Condominio,"Lago Norte, Brasília",80 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 11 dias,
R$ 350.000,R$ 460 Condominio,"Sudoeste, Brasília",41 m² tot.,1 quartos,1 banheiro,,Publicado há 11 dias,
R$ 599.000,R$ 300 Condominio,"Cruzeiro, Brasília",67 m² tot.,3 quartos,2 ban.,,Publicado há 13 dias,
R$ 2.230.000,,"Noroeste, Brasília",145 m² tot.,3 quartos,5 ban.,2 vaga,Publicado há 18 dias,
R$ 1.740.000,,"Águas Claras, Brasília",178 m² tot.,4 quartos,6 ban.,3 vaga,Publicado há 25 dias,
R$ 310.000,,"Sudoeste, Brasília",27 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 7 dias,
R$ 500.000,,"Cruzeiro, Brasília",47 m² tot.,2 quartos,1 banheiro,,Publicado há 25 dias,
R$ 370.000,R$ 358 Condominio,"Águas Claras, Brasília",40 m² tot.,1 quartos,2 ban.,1 vaga,Publicado há 27 dias,"Residencial Fernando de Noronha - Avenida Parque Águas Claras. Apartamento de 1 quarto com suíte. -Banheiro social. - O imóvel possuiu cortina na sala, rack com paine de tv. - Suíte com armários, persiana e ar condicionado. - Banheiros com armário, espelho e box em vidro temperado; - Cozinha americana com armários e fogão de indução 2 bocas; - Vaga de garagem rotativa; - Condomínio completo com elevador, playground, churrasqueira, piscina, academia, salão de festas, bicicletário, Lan House, espaço gourmet e sala de reunião; - Segurança/Portaria 24h. Próximo ao comércio local, ponto de ônibus, escola, hospital, parque, delegacia, supermercado, banco, restaurante, farmácia, shopping e estacionamento público. Aceita financiamento. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024"
R$ 600.000,,"Asa Norte, Brasília",100 m² tot.,2 quartos,,,Publicado há 19 dias,
R$ 659.000,R$ 550 Condominio,"Águas Claras, Brasília",78 m² tot.,3 quartos,2 ban.,1 vaga,Publicado há 27 dias,
R$ 350.000,,"Águas Claras, Brasília",42 m² tot.,1 quartos,,,Publicado há 5 dias,
R$ 480.000,R$ 360 Condominio,"Park Sul, Brasília",28 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 27 dias,
R$ 570.000,R$ 550 Condominio,"Águas Claras, Brasília",69 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 24 dias,
R$ 574.038,R$ 1.146 Condominio,"Asa Norte, Brasília",37 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 9 dias,
R$ 3.400.000,,"Noroeste, Brasília",214 m² tot.,4 quartos,6 ban.,4 vaga,Publicado há 20 dias,
R$ 830.000,,"Asa Sul, Brasília",90 m² tot.,3 quartos,2 ban.,"Sqs 414 - Asa Sul - Raridade - 3 quartos, sendo uma suíte, nascente, 90 m², elevador! Apresentamos a você este excelente apartamento, com localização privilegiada próximo ao comércio local, restaurantes, pontos de ônibus, faculdades, bancos, shopping, estacionamento público etc. São 90m² distribuídos em: - Sala ampla; - Cozinha com armários; - 3 Quartos com armários, sendo 1 suíte; - 1 Banheiro social; - Área de serviço. Aceita financiamento, aceita fgts! Aceita proposta! *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024",Publicado há 27 dias,
R$ 265.000,,"Setor Habitacional Jardins Mangueiral, Brasília",48 m² tot.,2 quartos,1 banheiro,1 vaga,Publicado há 3 dias,"Ótimo Apartamento de 02 Quartos (3° Andar) Localizado no Jardins Mangueiral qc 03 por R$265. 000, 00. Este aconchegante apartamento se destaca pela sua espaçosa sala, adornada com um elegante piso em porcelanato que garante conforto e fácil manutenção. Varanda harmoniosamente integrada à sala, oferece uma vista encantadora do terceiro andar, proporcionando um espaço extra e agradável ao ambiente. A cozinha original, e revestida parcialmente em cerâmica, oferece a flexibilidade de reforma de acordo com as preferências do comprador. Área de serviço, adjacente à cozinha, é equipada com um tanque, proporcionando praticidade nas tarefas diárias. Os dois quartos, em piso porcelanato, destacam-se não apenas pelo acabamento, mas também por suas ótimas vistas, proporcionando um local arejado e confortável. O banheiro revestido em cerâmica, está pronto para atender às necessidades dos residentes. Oferecendo possibilidades de reforma e personalização. Esse imóvel ainda oferece a comodidade de uma vaga de garagem, agregando conforto e segurança no dia-a-dia. O residencial Jardins dos Pequis tem uma excelente localização, paisagismo, próximo aos comércios locais, escola, igreja e ubs (unidade básica de saúde). Conta também com ronda e segurança armada 24hrs, oferece lazer para crianças, quadra esportiva e churrasqueiras. Agende já sua visita! Corretor helder perazzo - creci: 16. 342. (61) Ver dados. corretor erivelto santos - creci: 25. 383. (61) Ver dados. corretor ramon - creci: 26. 558. (61) Ver dados. corretora ana shirley- creci: 26. 489. (61) Ver dados. perazzo imóveis - creci: J Ver dados. (61) Ver dados - 16/02/2024"
R$ 715.000,R$ 600 Condominio,"Águas Claras, Brasília",82 m² tot.,3 quartos,2 ban.,1 vaga,Publicado há 27 dias,"Apartamento 3 Quartos, 1 Suíte, 1 Garagem, Último Andar. -> Informações do Apartamento: 18º andar, último andar, tranquilo, sem barulho de morador superior. - 3 quartos com armários, sendo um deles com suíte; - Banheiros com armários; - Apartamento reformado, com vista livre; - Área Total: 93 m² com área privativa de 81, 25 m²; - Piso de Porcelanato; - Iluminação toda em lâmpada led; - Sala de estar para dois ambientes, com ar-condicionado (dezoito mil) btus; - Cozinha com ampla com armários planejados, fogão cooktop, forno e área de serviço separada; - Banheiros reformados. - Varanda. - Vaga de estacionamento coberta. -> Comodidades da área de lazer: - Piscina aquescida. - Academia; - Área de churrasco; - Forno de pizza; - Salão de festas; - Playground para as crianças; - Sauna. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024"
R$ 1.250.000,R$ 600 Condominio,"Asa Sul, Brasília",77 m² tot.,2 quartos,2 ban.,1 vaga,Publicado há 25 dias,
R$ 310.000,R$ 400 Condominio,"Águas Claras, Brasília",34 m² tot.,1 quartos,1 banheiro,1 vaga,Publicado há 27 dias,
R$ 5.527.441,,"Park Sul, Brasília",365 m² tot.,4 quartos,7 ban.,4 vaga,Publicado há 11 dias,
R$ 319.000,,"Asa Norte, Brasília",47 m² tot.,1 quartos,1 banheiro,"Cln 405 - Asa Norte. Apresentamos a você está excelente kitnet semimobiliada, com localização privilegiada e 46, 86m² distribuídos em: - Sala; - Cozinha com armários; - Quarto; - Banheiro social; - Varanda. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024",Publicado há 27 dias,
R$ 310.000,R$ 285 Condominio,"Sudoeste, Brasília",40 m² tot.,1 quartos,1 banheiro,"Edifício Omni Center - Sudoeste. Apresentamos a você esta kitnet semi-mobiliada localizada no primeiro andar do Edifício Omni Center, oferecendo uma posição poente, o que significa que recebe luz do sol durante a tarde e à noite. O apartamento é composto por: - Sala espaçosa que se conecta a um corredor; - Cozinha bem equipada; - 1 Quarto aconchegante; - 1 Banheiro social; - Varanda. Além disso, o prédio possui uma área do pilotis comercial, o que pode significar que há lojas ou estabelecimentos comerciais no térreo do edifício, oferecendo conveniência adicional aos moradores, como acesso a lojas, restaurantes ou serviços. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024",Publicado há 27 dias,
R$ 2.630.000,,"Noroeste, Brasília",165 m² tot.,4 quartos,6 ban.,3 vaga,Publicado há 3 dias,"Sqnw 302 - Noroeste*reserva planalto* construtora brasal* entrega em março 2024 *temos 2 apts lado a lado* -aceita permuta por casa no Lago Norte com habite se até R$ 2. 500. 000, 00 -três vagas são 100% livres, sendo que a do meio sai por baliza, caso as duas outras estejam ocupadas*excelente apartamento de 4 suítes - vazado - ótima posição solar: frente nascente: sala e 2 suítes que é a principal + a segunda que pode ser usada para aumentar a sala. A frente tem um prédio em perpendicular. E ao outro lado poente: cozinha com janelão+ área de serviço + 2 suítes *as primeiras fotos são do apt decorado da construtora* e nas sequência da fase de cosntrução em junho 2023 - ágio: (atualizado em dezembro 2023) - Ágio: 1. 152. 300, 00Saldo a pagar para a construtora: 2 parcelas de R$ 11. 500, 00 (20/02 e 20/03) Saldo devedor das chaves: R$ R$ 1. 454. 700, 00Valor total do apt: R$ 2. 630. 000, 00 destaques do apartamento: - Apartamento vazado;- 4 quartos;- 4 suítes;- 3 vagas de garagem sendo: Três vagas são 100% livres, sendo que a do meio sai por baliza, caso as duas outras estejam ocupadas. (há foto das vagas no anúncio) - Todas as bancadas dos banheiros e lavabo em mármore (exceto banheiro de serviço) ;- Cuba esculpida em mármore no lavabo;- Piso em porcelanato polido 120 x 120cm na sala e varanda;- Piso em porcelanato natural 120 x 120cm na cozinha, área de serviço e depósito;- Piso vinílico nos quartos;- Tomadas usb na sala e suíte;- Rodapé em porcelanato com 15cm de altura;- Bancada da cozinha e área de serviço em granito;- Acesso aos apartamentos com fechadura eletrônica;- Caixa All Conect para a conexão de rede de dados;- Sensor de detecção e vazamento de gás;- Infraestrutura para instalação de ar-condicionado modelo inverter na sala e quartos;- Portas internas com acabamento madeirado Cappuccino Linheiro;- Ralo linear em todos os banheiros;- Tanque em Inox na bancada de granito;- Bancada com cuba dupla na cozinha;- Pontos de água para geladeira e filtro na cozinha;- Ponto de água e esgoto para instalação de máquina de lavar louça;- Sistema de descarga dos sanitários com acionamento duplo;- Infraestrutura de automação para as cortinas, câmeras e sistema de sonorização;- Aquecedor de passagem em todas as unidades;- Acionamento de água quente com monocomando nas torneiras e duchas;- Sistema de recirculação de água quente para evitar desperdício de água ao abrir as torneiras;- Laje maciça com espessura de 22cm para melhor isolamento acústico;- Sistema de aquecimento solar com complementação individual a gás. Destaques das áreas comuns: - Piso Epóxi na garagem;- Piscina social climatizada;- Ambientes das áreas comuns entregues mobiliados e decorados sem custo adicional;- Churrasqueira e chopeira instalada na área de lazer;- Esquadrias dos apartamentos em alumínio e com sistema de correr;- Academia entregue toda equipada;- Ar-condicionado de baixo consumo no salão de festas, brinquedoteca, academia e Espaço Gourmet;- Iluminação das áreas comuns em Led;- Previsão para instalação de sistema de tratamento de águas cinzas;- Bacia sanitária com acionamento duplo;- 4 bicicletas elétricas para uso comum do condomínio;- Pontos elétricos na garagem para recarga de bicicletas elétricas;- Vaga Car Wash (para lavagem de carros) ;- Vagas para recarga de carros elétricos;- Irrigação dos jardins;- Leitor biométrico no hall social do pilotis;- Sistema de cftv nos acessos das áreas comuns;- Sensor de gás nos halls de serviço;- Sensor de presença nos halls;- Sistema de automação para controle e supervisão predial. Diferenciais da brasal incorporações: - Uso de madeira certificada nas construções;- Canteiro de obras sustentável;- Uso de energia solar fotovoltaica;- Reaproveitamento do uso da água;- Apartamentos com previsão para automação. Maiores informações: Fernanda Anjos - Ver dadosAnderson Bordalo Ver dadosEdson Júnior Ver dadosDiego Gomes Ver dadosBruno Frechiani Ver dadosSuami Lins Ver dadosGlauber Garbim Ver dadosViviane Lacerda Ver dadosGisella Bordalo Ver dadosSílvio Florentino Ver dadosAline Bergamaschine Ver dadosFernanda Furtado Ver dadosFlávia Landim Ver dadosEkaterina Sukhoverkhova - Ver dadosÉdla Piau - Ver dadosTatiane Smith - Ver dadosBordalo prime Imobiliária Ver dadosCodigo anúncio: villaVer dados - Ver dados"
R$ 1.400.000,R$ 1.120 Condominio,"Asa Sul, Brasília",170 m² tot.,3 quartos,2 ban.,"Oportunidade na melhor quadra - sqs 109 - asa sul. Se você procura um espaço charmoso com 137m2, 3 quartos 1 suíte e vaga de garagem! Sua busca termina aqui! Conforto e uma localização fantástica, próximo a esplanada dos ministérios, para você que desejam viver com estilo e qualidade. em uma região arborizada em toda redondeza do bloco. O apartamento é extremamente espaçoso, oferecendo uma área bem dividida, em 2 ambientes de sala, estar, jantar, a cozinha bem funcional, que atende a todas as suas necessidades diárias. Não perca tempo! Conheça esse imóvel ainda hoje e faça sua proposta. Envie uma mensagem por e-mail ou WhatsApp informando o horário que deseja visitar ou ligue para a nossa Central de Vendas (61) Ver dados. Petrus Imob - Juntos realizamos o seu sonho! - 18/02/2024",Publicado há 21 dias,
R$ 470.000,R$ 558 Condominio,"Águas Claras, Brasília",50 m² tot.,2 quartos,1 banheiro,1 vaga,Publicado há 27 dias,"Max Home- Águas Claras-df. Excelente apartamento, com armários, lazer completo e em localização privilegiada! Apartamento possuí; - Sala; - Cozinha; - 2 Quartos; - Banheiro; - Área de lazer completa. Aceita financiamento e fgts. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024"
R$ 1.250.000,R$ 744 Condominio,"Noroeste, Brasília",84 m² tot.,2 quartos,3 ban.,2 vaga,Publicado há 27 dias,"Apartamento de 2 quartos, 84m², excelente planta, 3º andar, com 2 vagas de garagem conjugadas, novo e reformado. Apartamento será entregue com armários feitos na Terra Ambientes, Ar-Condicionado Fujitsu nos 3 cômodos, entre outras benfeitorias. Bom valor de condomínio: 744 reais (jan/23). Posição do sol: Perpendicular face norte. O prédio fica localizado na parte mais alta do Setor Noroeste, na sqnw 107, tendo o prédio fachada moderna em granito, pele de vidro e janelas de correr, além disso o condomínio conta com uma das maiores área de lazer do bairro, composta por 800m² de cobertura coletiva. Condomínio com: -Salão de festas. -Piscina adulto. -Piscina infantil. -Academia. - Espaço para Home Office. -Espaço Gourmet. -3 churrasqueiras. -Brinquedoteca. -Home Cinema. -Saúna com passagem para piscina. -salão de jogos. -lan house. -spa. -sala de massagem. -bicicletário. -Gerador de energia. estuda-se proposta. *A área do imóvel anunciado é uma estimativa e deverá ser confirmada junto à certidão de ônus do imóvel ou cessão de direitos, se não se tratar de bem a ser vendido como coisa certa e discriminada, bem como eventual vaga de garagem anunciada que deverá ser confirmada, pois se trata de vaga vinculada, área comum ou estacionamento público cercado. Plantão de atendimento. Ligue agora e agende sua visita! - 16/02/2024"
